item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Regular,FDV20,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.059894,20.2,125.9678,4.2
Regular,FDO27,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.179356,6.175,94.1752,4.2
Regular,FDX51,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.022093,9.5,195.9452,4.2
Regular,FDR27,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.09625,15.1,134.4942,4.2
Regular,FDU33,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.134919,7.63,46.9402,4.2
Regular,FDC10,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.072991,9.8,121.6098,4.2
Regular,FDF11,Starchy Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.017659,10.195,240.1538,4.2
Regular,FDE11,Starchy Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.135306,17.7,183.7924,4.2
Low Fat,FDO24,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.0,11.1,156.4604,4.2
Low Fat,NCD54,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.029054,21.1,144.6786,4.2
Low Fat,FDH33,Snack Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.213125,12.6,44.9428,4.2
Low Fat,FDK24,Baking Goods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.177354,12.6,46.6744,4.2
Low Fat,FDN60,Baking Goods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.16661,12.6,157.6604,4.2
Low Fat,FDW36,Baking Goods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.099682,12.6,107.4622,4.2
Low Fat,FDR23,Breads,2018.0,OUT019,Tier 1,Small,Grocery Store,0.143199,12.6,175.837,4.2
Low Fat,FDA13,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.13754,12.6,38.8506,4.2
Low Fat,FDH38,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.018276,12.6,115.2808,4.2
Low Fat,FDS01,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.031069,12.6,179.6686,4.2
Low Fat,FDY13,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.052749,12.6,74.967,4.2
Low Fat,FDL40,Frozen Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.0,12.6,98.241,4.2
Low Fat,NCK05,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.135612,12.6,61.1536,4.2
Low Fat,NCM05,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.104784,12.6,266.0226,4.2
Low Fat,NCY29,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.135227,12.6,56.293,4.2
Low Fat,NCG30,Household,2018.0,OUT019,Tier 1,Small,Grocery Store,0.19666,12.6,125.8046,4.2
Low Fat,FDG31,Meat,2018.0,OUT019,Tier 1,Small,Grocery Store,0.066352,12.6,65.0826,4.2
Low Fat,FDV15,Meat,2018.0,OUT019,Tier 1,Small,Grocery Store,0.255929,12.6,103.3648,4.2
Low Fat,FDE46,Snack Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.027611,12.6,149.5366,4.2
Low Fat,DRF25,Soft Drinks,2018.0,OUT019,Tier 1,Small,Grocery Store,0.068153,12.6,36.019,4.2
Low Fat,DRF49,Soft Drinks,2018.0,OUT019,Tier 1,Small,Grocery Store,0.124448,12.6,112.0518,4.2
Low Fat,DRH37,Soft Drinks,2018.0,OUT019,Tier 1,Small,Grocery Store,0.072865,12.6,165.2526,4.2
Regular,FDH14,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.081956,12.6,142.0838,4.2
Regular,FDE51,Dairy,2018.0,OUT019,Tier 1,Small,Grocery Store,0.168902,12.6,43.4086,4.2
Regular,FDL52,Frozen Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.080698,12.6,39.8506,4.2
Regular,FDY28,Frozen Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.266397,12.6,215.6218,4.2
Regular,FDE56,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.278731,12.6,63.2194,4.2
Regular,FDH45,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.185009,12.6,42.3796,4.2
Regular,FDH56,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.111736,12.6,115.9492,4.2
Regular,FDO56,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.078759,12.6,116.3808,4.2
Regular,FDT55,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.076435,12.6,155.8946,4.2
Regular,FDY03,Meat,2018.0,OUT019,Tier 1,Small,Grocery Store,0.133279,12.6,112.6202,4.2
Regular,FDS21,Snack Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.036551,12.6,62.7194,4.2
Low Fat,FDB50,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.153619,13.0,79.6986,4.2
Low Fat,NCN30,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.016993,16.35,95.741,4.2
Low Fat,FDV15,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.146172,10.3,103.3648,4.2
Low Fat,FDZ12,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.102979,9.17,144.947,4.2
Low Fat,FDS23,Breads,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.140889,4.635,127.0994,4.2
Low Fat,FDR35,Breads,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.020698,12.5,198.8742,4.2
Low Fat,FDX13,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.047783,7.725,249.1092,4.2
Low Fat,FDG02,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.011261,7.855,189.5188,4.2
Low Fat,FDO50,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.078169,16.25,91.3804,4.2
Low Fat,FDC28,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.054987,7.905,108.6254,4.2
Low Fat,FDH41,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.082012,9.0,213.3534,4.2
Low Fat,FDC17,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.015461,12.15,211.8928,4.2
Low Fat,FDG40,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.039824,13.65,32.8558,4.2
Low Fat,FDG29,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.056292,17.6,42.5454,4.2
Low Fat,FDD05,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.016611,19.35,122.0098,4.2
Low Fat,FDO32,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.120544,6.36,45.806,4.2
Low Fat,DRH59,Hard Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.058433,10.8,74.738,4.2
Low Fat,NCM17,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.071136,7.93,42.7086,4.2
Low Fat,NCP29,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.112271,8.42,63.2168,4.2
Low Fat,NCN41,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.052209,17.0,122.373,4.2
Low Fat,NCP17,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.027714,19.35,65.6168,4.2
Low Fat,NCA05,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.025131,20.75,150.0734,4.2
Low Fat,NCB31,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.118674,6.235,261.691,4.2
Low Fat,NCE07,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.01313,8.18,142.6154,4.2
Low Fat,NCD19,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.013179,8.93,55.1614,4.2
Low Fat,NCP18,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.028598,12.15,150.4708,4.2
Low Fat,NCG06,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.029445,16.35,257.6646,4.2
Low Fat,NCC30,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.027579,16.6,178.7344,4.2
Low Fat,NCI30,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.058936,20.25,246.646,4.2
Low Fat,FDS03,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.079629,7.825,63.4826,4.2
Low Fat,FDL43,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.027064,10.1,76.367,4.2
Low Fat,FDV03,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.058091,17.6,156.2314,4.2
Low Fat,NCL31,Others,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.120281,7.39,142.747,4.2
Low Fat,FDR58,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.041921,6.675,92.3462,4.2
Low Fat,FDF22,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.056831,6.865,214.0218,4.2
Low Fat,FDZ10,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.044463,17.85,127.102,4.2
Low Fat,FDW45,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.039011,18.0,147.7418,4.2
Low Fat,FDN45,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.118103,19.35,224.8088,4.2
Low Fat,DRZ24,Soft Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.081788,7.535,120.844,4.2
Regular,FDS36,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.046887,8.38,107.957,4.2
Regular,FDJ60,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.062528,19.35,166.9184,4.2
Regular,FDB37,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.022941,20.25,241.8538,4.2
Regular,FDG38,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.052729,8.975,86.4224,4.2
Regular,FDI38,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.014627,13.35,207.7638,4.2
Regular,FDI02,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.114565,15.7,112.0202,4.2
Regular,FDD38,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.008192,16.75,103.5674,4.2
Regular,FDY49,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.012012,17.2,163.1184,4.2
Regular,FDE05,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.032454,10.895,144.8102,4.2
Regular,FDQ40,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.036028,11.1,177.2712,4.2
Regular,FDI16,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.135776,14.0,54.564,4.2
Regular,FDV28,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.159728,16.1,34.3558,4.2
Regular,FDZ43,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.057059,11.0,241.7512,4.2
Regular,FDV19,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.035257,14.85,161.2578,4.2
Regular,FDZ31,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.113217,15.35,191.1504,4.2
Regular,FDS32,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.029654,17.75,140.5838,4.2
Regular,FDQ32,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.046608,17.85,122.9388,4.2
Regular,FDS27,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.012458,10.195,196.311,4.2
Regular,FDH31,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.020411,12.0,98.6042,4.2
Regular,FDL58,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.074149,5.78,262.2568,4.2
Regular,FDH46,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.041282,6.935,103.5332,4.2
Regular,FDS58,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.0,9.285,161.5578,4.2
Regular,FDU46,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.011126,10.3,87.254,4.2
Regular,FDY57,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.121254,20.2,94.5752,4.2
Regular,FDH47,Starchy Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.128816,13.5,96.4068,4.2
Regular,FDE11,Starchy Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.0,17.7,184.3924,4.2
Low Fat,FDV38,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.10198,19.25,54.3956,4.2
Low Fat,NCM06,Household,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.075881,7.475,155.2656,4.2
Low Fat,NCO43,Others,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.0,5.5,103.1016,4.2
Low Fat,FDB51,Dairy,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.038672,6.92,64.2852,4.2
Low Fat,FDP33,Snack Foods,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.089777,18.7,256.4672,4.2
Low Fat,FDK48,Baking Goods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.037709,7.445,74.7354,4.2
Low Fat,FDZ48,Baking Goods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.076114,17.75,111.4544,4.2
Low Fat,FDP24,Baking Goods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.083172,20.6,121.0756,4.2
Low Fat,FDS37,Canned,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.03201,7.655,117.2492,4.2
Low Fat,FDU13,Canned,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.187939,8.355,146.9418,4.2
Low Fat,FDX01,Canned,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.024213,10.1,116.715,4.2
Low Fat,FDA13,Canned,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.078714,15.85,37.2506,4.2
Low Fat,FDZ15,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.020913,13.1,120.1782,4.2
Low Fat,DRF51,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.166175,15.75,37.4506,4.2
Low Fat,FDD39,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.070297,16.7,216.385,4.2
Low Fat,FDS50,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.055546,17.0,220.5114,4.2
Low Fat,FDO16,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.015139,5.48,81.925,4.2
Low Fat,FDK40,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.021894,7.035,262.791,4.2
Low Fat,FDC28,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.055098,7.905,109.2254,4.2
Low Fat,FDE29,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.143419,8.905,61.4878,4.2
Low Fat,FDH41,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.082178,9.0,214.1534,4.2
Low Fat,FDX40,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.099194,12.85,38.1164,4.2
Low Fat,FDS40,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.014048,15.35,36.719,4.2
Low Fat,FDJ04,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.124704,18.0,120.3124,4.2
Low Fat,FDP19,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.173868,11.5,128.8652,4.2
Low Fat,FDD33,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.108412,12.85,233.2642,4.2
Low Fat,FDZ56,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.025789,16.25,166.9474,4.2
Low Fat,FDY55,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.081485,16.75,258.0988,4.2
Low Fat,FDI32,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.0,17.7,115.0834,4.2
Low Fat,FDL44,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.0123,18.25,160.4894,4.2
Low Fat,DRK47,Hard Drinks,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.064194,7.905,229.4694,4.2
Low Fat,DRP35,Hard Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.091052,18.85,127.4336,4.2
Low Fat,NCH29,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.034544,5.51,99.7726,4.2
Low Fat,NCY05,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.055102,13.5,37.0874,4.2
Low Fat,NCV41,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.017073,14.35,109.5228,4.2
Low Fat,NCM41,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.035728,16.5,95.212,4.2
Low Fat,NCW41,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.015482,18.0,159.3604,4.2
Low Fat,NCA17,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.04551,20.6,149.6392,4.2
Low Fat,NCO26,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.077011,7.235,117.3492,4.2
Low Fat,NCR42,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.03856,9.105,33.89,4.2
Low Fat,NCF42,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.167723,17.35,176.3712,4.2
Low Fat,NCM19,Others,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.047333,12.65,113.8202,4.2
Low Fat,NCQ38,Others,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.013394,16.35,106.028,4.2
Low Fat,FDQ46,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.104024,7.51,112.4544,4.2
Low Fat,FDI22,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.096408,12.6,210.8612,4.2
Low Fat,FDH33,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.121972,12.85,43.1428,4.2
Low Fat,FDB34,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.026664,15.25,87.0198,4.2
Low Fat,FDV45,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.045139,16.75,187.9556,4.2
Low Fat,FDM21,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.064495,20.2,259.2646,4.2
Low Fat,DRZ24,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.0,7.535,121.644,4.2
Low Fat,DRL37,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.05348,15.5,42.377,4.2
Low Fat,DRH25,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.014623,18.7,52.0324,4.2
Low Fat,FDJ48,Baking Goods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.056754,11.3,247.5118,4.2
Low Fat,FDH24,Baking Goods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.021552,20.7,157.0288,4.2
Low Fat,FDK38,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.053591,6.65,149.7734,4.2
Low Fat,FDE02,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.121936,8.71,94.4778,4.2
Low Fat,FDY25,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.034167,12.0,181.2976,4.2
Low Fat,FDB50,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.154487,13.0,77.2986,4.2
Low Fat,FDT37,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.03547,14.15,256.3014,4.2
Low Fat,FDH27,Dairy,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.058677,7.075,142.0128,4.2
Low Fat,FDP26,Dairy,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.140342,7.785,105.6306,4.2
Low Fat,FDZ15,Dairy,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.020989,13.1,117.7782,4.2
Low Fat,FDD03,Dairy,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.080258,13.3,232.63,4.2
Low Fat,FDE53,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.027032,10.895,106.328,4.2
Low Fat,FDS40,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.014099,15.35,37.219,4.2
Low Fat,FDY31,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.043809,5.98,146.8418,4.2
Low Fat,FDZ19,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.093984,6.425,175.5712,4.2
Low Fat,FDQ20,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.029953,8.325,39.5138,4.2
Low Fat,FDJ56,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.18444,8.985,99.67,4.2
Low Fat,FDG57,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.072707,14.7,49.5034,4.2
Low Fat,FDI44,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.1008,16.1,78.4328,4.2
Low Fat,DRF23,Hard Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.123346,4.61,172.5396,4.2
Low Fat,DRK59,Hard Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.075877,8.895,235.9616,4.2
Low Fat,DRL35,Hard Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.030877,15.7,42.177,4.2
Low Fat,NCR17,Health and Hygiene,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.024521,9.8,117.5492,4.2
Low Fat,NCO26,Household,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.07729,7.235,116.9492,4.2
Low Fat,NCE31,Household,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.185889,7.67,35.4216,4.2
Low Fat,NCQ30,Household,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.029237,7.725,123.8414,4.2
Low Fat,NCR42,Household,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.0387,9.105,33.79,4.2
Low Fat,NCI18,Household,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.014103,18.35,225.4746,4.2
Low Fat,NCJ42,Household,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.014382,19.75,102.2332,4.2
Low Fat,FDS39,Meat,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.022588,6.895,143.7812,4.2
Low Fat,FDR33,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.02694,7.31,108.457,4.2
Low Fat,FDJ09,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.058725,15.0,43.6744,4.2
Low Fat,FDT57,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.019142,15.2,237.5248,4.2
Low Fat,FDS10,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.035385,19.2,180.3318,4.2
Low Fat,DRM37,Soft Drinks,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.096943,15.35,196.5768,4.2
Regular,FDL24,Baking Goods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.024947,10.3,172.3422,4.2
Regular,FDT24,Baking Goods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.186236,12.35,78.7328,4.2
Regular,FDX52,Frozen Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.042088,11.5,192.682,4.2
Regular,FDN08,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.088544,7.72,117.5466,4.2
Regular,FDW44,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.035223,9.5,170.1448,4.2
Regular,FDW31,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.043246,11.35,199.4742,4.2
Regular,FDJ44,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.106543,12.3,173.2396,4.2
Regular,FDF08,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.06534,14.3,89.1856,4.2
Regular,FDH44,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.025925,19.1,148.0418,4.2
Regular,FDE33,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.049736,19.35,76.8644,4.2
Regular,FDO03,Meat,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.036958,10.395,230.5352,4.2
Regular,FDS45,Snack Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.029556,5.175,105.9622,4.2
Regular,FDP45,Snack Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.030687,15.7,253.4724,4.2
Regular,FDS22,Snack Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.023202,16.85,45.9428,4.2
Regular,DRM49,Soft Drinks,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.152262,6.11,44.4086,4.2
Regular,FDQ49,Breakfast,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.03947,20.2,155.163,4.2
Regular,FDH02,Canned,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.020899,7.27,92.2488,4.2
Regular,FDI02,Canned,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.115213,15.7,112.0202,4.2
Regular,FDV01,Canned,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.0,19.2,153.3314,4.2
Regular,FDQ26,Dairy,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.068256,13.5,60.9562,4.2
Regular,FDU26,Dairy,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.04286,16.7,120.3782,4.2
Regular,FDC29,Frozen Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.024343,8.39,113.6176,4.2
Regular,FDN04,Frozen Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.014167,11.8,178.2344,4.2
Regular,FDR52,Frozen Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.076475,12.65,191.8846,4.2
Regular,FDP28,Frozen Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.081097,13.65,261.2936,4.2
Regular,FDA40,Frozen Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.099833,16.0,87.4856,4.2
Regular,FDD21,Fruits and Vegetables,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.0,10.3,115.7176,4.2
Regular,FDA08,Fruits and Vegetables,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.050368,11.85,163.8526,4.2
